grid_cell,sentiment_mean,sentiment_count,sentiment_std
32.3400_-86.1600,0.013235294117647057,34,0.04318533619218549
32.3400_-86.1650,0.03953974895397489,239,0.0662262918538387
32.3400_-86.1700,0.049999999999999996,81,0.07500000000000001
32.3400_-86.1750,0.010714285714285713,42,0.039099177032250985
32.3400_-86.1800,0.048,250,0.07011178681650045
32.3400_-86.1850,0.05454545454545454,165,0.07607325212963303
32.3400_-86.1900,0.05377358490566037,159,0.07410802280901879
32.3400_-86.1950,0.03234501347708895,371,0.0646583503161651
32.3400_-86.2000,0.06470588235294118,255,0.07677949152991574
32.3400_-86.2050,0.10933333333333332,225,0.0668286722041627
32.3400_-86.2100,0.015789473684210527,19,0.04729526514634586
32.3400_-86.2150,0.07977707006369426,314,0.07496717907852664
32.3400_-86.2200,0.0728744939271255,247,0.07512209869705021
32.3400_-86.2250,0.047663551401869154,107,0.07313181997549997
32.3400_-86.2300,0.04549180327868852,122,0.06923552399959267
32.3400_-86.2350,0.06480836236933797,287,0.08245711875467622
32.3400_-86.2400,0.05714285714285714,273,0.07630172856176066
32.3400_-86.2450,0.0893258426966292,89,0.07403619742471475
32.3400_-86.2500,0.04491017964071856,167,0.06890597980130007
32.3400_-86.2550,0.04076086956521739,184,0.06872346892985966
32.3400_-86.2600,0.0423469387755102,294,0.06763384182909316
32.3400_-86.2650,0.06360759493670885,158,0.07436541174660787
32.3400_-86.2700,0.031875,160,0.06155416390740453
32.3400_-86.2750,0.047619047619047616,126,0.07010196655077312
32.3400_-86.2800,0.044711538461538455,104,0.07204309296672444
32.3400_-86.2850,0.051506024096385536,166,0.07144073593804247
32.3400_-86.2900,0.04776536312849161,179,0.07007644883402425
32.3400_-86.2950,0.02470059880239521,668,0.05687304201628946
32.3400_-86.3000,0.08175965665236051,233,0.07485556612030897
32.3400_-86.3050,0.1006578947368421,228,0.0706296825133457
32.3400_-86.3100,0.06384615384615384,195,0.07590061952585896
32.3400_-86.3150,0.056971153846153845,208,0.0729764645709211
32.3400_-86.3200,0.09358600583090379,343,0.07455303879161661
32.3400_-86.3250,0.11316964285714284,224,0.06470524938926196
32.3400_-86.3300,0.05399999999999999,50,0.07273098320775917
32.3400_-86.3350,0.0901685393258427,178,0.07365728180449052
32.3400_-86.3400,0.08636363636363636,66,0.07920055096227091
32.3400_-86.3450,0.12,5,0.0670820393249937
32.3400_-86.3500,0.045,10,0.07245688373094719
32.3400_-86.3550,0.08333333333333333,18,0.07669649888473705
32.3400_-86.3600,0.08963414634146341,82,0.0740110956304713
32.3400_-86.3650,0.10965517241379309,145,0.0667438489998168
32.3400_-86.3700,0.07386363636363637,132,0.07970985291872498
32.3400_-86.3750,0.05294117647058823,17,0.07388882746078335
32.3400_-86.3800,0.0,2,0.0
32.3400_-86.4100,0.049999999999999996,3,0.08660254037844387
32.3400_-86.4150,0.0,5,0.0
32.3450_-86.1300,0.06455696202531645,79,0.07850849159288979
32.3450_-86.1350,0.06492537313432835,67,0.07930327545546101
32.3450_-86.1400,0.03913043478260869,23,0.06734666378173194
32.3450_-86.1450,0.026250000000000002,40,0.05772114663821891
32.3450_-86.1500,0.03837209302325581,43,0.066222217267324
32.3450_-86.1550,0.020833333333333332,36,0.06366766391639817
32.3450_-86.1600,0.012244897959183673,49,0.041496250137936605
32.3450_-86.1650,0.05660377358490566,106,0.07305427587567805
32.3450_-86.1700,0.03290322580645161,155,0.06227262789004327
32.3450_-86.1750,0.022,75,0.053423347462079294
32.3450_-86.1800,0.028899082568807338,109,0.05943155804573121
32.3450_-86.1850,0.058333333333333334,72,0.07782247765375384
32.3450_-86.1900,0.04927007299270073,137,0.07070688289668285
32.3450_-86.1950,0.03588709677419355,372,0.06501932654966323
32.3450_-86.2000,0.07058823529411765,119,0.07518670678629233
32.3450_-86.2050,0.10657894736842105,152,0.06825260117458198
32.3450_-86.2100,0.0,28,0.0
32.3450_-86.2150,0.003333333333333333,45,0.022360679774997897
32.3450_-86.2200,0.06891891891891891,111,0.07509208106598618
32.3450_-86.2250,0.02558139534883721,129,0.056636270632544235
32.3450_-86.2300,0.07074235807860262,229,0.07504308116846738
32.3450_-86.2350,0.06524163568773235,269,0.08403333768267604
32.3450_-86.2400,0.06908396946564885,393,0.0748616109116333
32.3450_-86.2450,0.0384375,160,0.06568982647173605
32.3450_-86.2500,0.04475806451612903,124,0.068910967771105
32.3450_-86.2550,0.06413427561837455,283,0.07540582632470118
32.3450_-86.2600,0.045,140,0.06898545358084843
32.3450_-86.2650,0.05454545454545454,110,0.07248709298126157
32.3450_-86.2700,0.048039215686274506,153,0.07229379772051324
32.3450_-86.2750,0.06428571428571428,133,0.07676494735787383
32.3450_-86.2800,0.05538461538461538,195,0.07257581012776794
